131.00 1457.30  11.11
132.00 1467.39  11.14
133.00 1477.49  11.18
134.00 1487.59  11.22
135.00 1497.69  11.26
136.00 1507.79  11.30
137.00 1517.89  11.34
138.00 1527.98  11.38
139.00 1537.98  11.42
140.00 1548.08  11.46
141.00 1558.18  11.50
142.00 1568.28  11.54
143.00 1578.37  11.57
144.00 1588.47  11.61
145.00 1598.57  11.64
146.00 1608.67  11.67
147.00 1618.77  11.70
148.00 1628.87  11.72
149.00 1638.86  11.75
150.00 1648.96  11.77
151.00 1659.06  11.78
152.00 1669.16  11.80
153.00 1679.26  11.81
154.00 1689.36  11.82
155.00 1699.45  11.82
156.00 1709.55  11.82
157.00 1719.65  11.82
158.00 1729.75  11.81
159.00 1739.75  11.80
160.00 1749.85  11.78
161.00 1759.94  11.76
162.00 1770.04  11.74
163.00 1780.14  11.71
164.00 1790.24  11.68
165.00 1800.34  11.64
166.00 1810.43  11.60
167.00 1820.53  11.56
168.00 1830.63  11.51
169.00 1840.63  11.47
170.00 1850.73  11.42
171.00 1860.83  11.37
172.00 1870.92  11.33
173.00 1881.02  11.28
174.00 1891.12  11.24
175.00 1901.22  11.19
176.00 1911.32  11.15
177.00 1921.42  11.11
178.00 1931.51  11.07
179.00 1941.61  11.04
180.00 1951.61  11.01
181.00 1961.71  10.99
182.00 1971.81  10.96
183.00 1981.90  10.95
184.00 1992.00  10.93
185.00 2002.10  10.93
186.00 2012.20  10.92
187.00 2022.30  10.92
188.00 2032.40  10.92
189.00 2042.49  10.91
190.00 2052.49  10.90
191.00 2062.59  10.89
192.00 2072.69  10.88
193.00 2082.79  10.86
194.00 2092.89  10.84
195.00 2102.98  10.82
196.00 2113.08  10.80
197.00 2123.18  10.78
198.00 2133.28  10.75
199.00 2143.38  10.73
200.00 2153.38  10.70
201.00 2163.47  10.67
202.00 2173.57  10.65
203.00 2183.67  10.62
204.00 2193.77  10.60
205.00 2203.87  10.57
206.00 2213.96  10.55
207.00 2224.06  10.52
208.00 2234.16  10.50
209.00 2244.26  10.49
210.00 2254.26  10.47
211.00 2264.36  10.45
212.00 2274.45  10.44
213.00 2284.55  10.43
214.00 2294.65  10.43
215.00 2304.75  10.42
216.00 2314.85  10.42
217.00 2324.95  10.42
218.00 2335.04  10.42
219.00 2345.14  10.42
220.00 2355.24  10.42
221.00 2365.24  10.42
222.00 2375.34  10.42
223.00 2385.43  10.42
224.00 2395.53  10.42
225.00 2405.63  10.42
226.00 2415.73  10.42
227.00 2425.83  10.42
228.00 2435.93  10.42
229.00 2446.02  10.42
230.00 2456.12  10.42
231.00 2466.12  10.42
232.00 2476.22  10.42
233.00 2486.32  10.42
234.00 2496.42  10.42
235.00 2506.51  10.42
236.00 2516.61  10.42
237.00 2526.71  10.42
238.00 2536.81  10.42
239.00 2546.91  10.42
240.00 2557.01  10.42
241.00 2567.00  10.42
242.00 2577.10  10.42
